Egg,Cycle Start,Cycle Stop
blk_3,145,155
26_1,47,57
31_1,200,210
29_1,263,273
38_4,320,330
30_3,379,389
38_3,450,460
32_5,562,572
32_4,628,638
44_3,702,712
30_2,768,778
41_3,833,843
30_5,897,907
31_3,971,981
26_5,1030,1040
42_4,1100,1110
27_5,1156,1166
23_4,1215,1225
41_5,1280,1290
40_3,1350,1360
32_3,1414,1424
31_4,1483,1493
28_2,1562,1572
41_4,1623,1633
41_2,1691,1701
31_5,1880,1890
44_5,1943,1953
39_4,2006,2016
44_4,2080,2090
34_3,2154,2164
34_4,2218,2228
31_2,2277,2287
42_1,2344,2354
42_2,2404,2414
44_2,2462,2472
36_3,2524,2534
35_3,2588,2598
29_5,2651,2661
32_2,2720,2730
32_1,2780,2790
26_3,2844,2854
39_3,2906,2916
36_4,2967,2977
30_1,3048,3058
26_2,3107,3117
26_4,3174,3184
44_1,3243,3253
42_3,3310,3320
33_3,3371,3381
blk_4,3475,3485
