Egg,Cycle Start,Cycle Stop
blk_1,149,159
22_5,48,58
22_4,220,230
48_5,282,292
48_4,362,372
48_3,455,465
48_1,528,538
22_3,603,613
23_1,676,686
49_5,761,771
47_3,830,840
50_3,905,915
49_2,970,980
40_1,1031,1041
23_3,1122,1132
47_4,1212,1222
49_4,1289,1299
49_3,1352,1362
50_2,1416,1426
40_5,1473,1483
47_5,1554,1564
50_5,1623,1633
50_4,1680,1690
48_2,1741,1751
47_7,1796,1806
27_3,1947,1957
27_2,2009,2019
29_4,2070,2080
29_2,2146,2156
38_1,2221,2231
40_2,2292,2302
30_4,2353,2363
43_3,2521,2531
27_4,2665,2675
43_4,2728,2738
22_1,2863,2873
23_2,2995,3005
43_2,3057,3067
28_3,3123,3133
27_1,3197,3207
28_1,3270,3280
40_4,3338,3348
41_1,3400,3410
29_3,3456,3466
43_1,3518,3528
28_4,3575,3585
28_5,3637,3647
38_2,3705,3715
blk_2,3795,3805
,,
