Egg,Cycle Start,Cycle Stop
blk_10,52,62
34_2,115,125
37_2,175,185
36_2,256,266
36_5,321,331
33_1,400,410
33_4,479,489
8_5,545,555
6_1,615,625
39_5,688,698
42_5,787,797
35_1,860,870
35_5,1020,1030
7_5,961,971
5_1,1093,1103
35_2,1158,1168
36_1,1227,1237
33_5,1296,1306
33_2,1360,1370
8_2,1433,1443
39_1,1534,1544
39_2,1615,1625
34_5,1685,1695
37_1,1756,1766
34_1,1822,1832
20_1,1976,1986
19_4,2060,2070
20_5,2127,2137
46_1,2200,2210
46_5,2273,2283
38_5,2360,2370
19_3,2430,2440
19_2,2497,2507
20_4,2563,2573
45_5,2648,2658
46_2,2714,2724
49_1,2788,2798
20_2,2860,2870
19_1,2927,2937
19_5,3006,3016
45_4,3075,3085
46_3,3140,3150
47_1,3204,3214
20_3,3268,3278
45_2,3328,3338
45_1,3425,3435
45_3,3494,3504
46_4,3558,3568
50_1,3630,3640
22_2,3696,3706
23_3,3760,3770
blk_11,3855,3865
