Egg,Cycle Start,Cycle Stop
blk_7,166,176
22_5,65,75
22_4,240,250
48_5,300,310
48_4,385,395
48_3,475,485
48_1,545,555
22_3,618,628
23_1,700,710
49_5,777,787
47_3,848,858
50_3,922,932
49_2,989,999
40_1,1051,1061
23_3,1139,1149
47_4,1233,1243
49_4,1309,1319
49_3,1370,1380
50_2,1435,1445
40_5,1488,1498
47_5,1572,1582
50_5,1641,1651
50_4,1695,1705
48_2,1756,1766
47_7,1815,1825
27_3,1963,1973
27_2,2023,2033
29_4,2087,2097
29_2,2169,2179
38_1,2238,2248
40_2,2310,2320
30_4,2377,2387
43_3,2540,2550
27_4,2685,2695
43_4,2747,2757
22_1,2909,2919
23_2,3012,3022
43_2,3076,3086
28_3,3145,3155
27_1,3217,3227
28_1,3287,3297
40_4,3355,3365
41_1,3415,3425
29_3,3477,3487
43_1,3538,3548
28_4,3595,3605
28_5,3657,3667
38_2,3724,3734
blk_8,3815,3825
