Egg,Cycle Start,Cycle Stop
blk_23,39,49
34_2,173,183
37_2,173,183
36_2,242,252
36_5,310,320
33_1,380,390
33_4,442,452
8_5,506,516
6_1,570,580
39_5,646,656
42_5,710,720
35_1,768,778
35_5,855,865
7_5,918,928
5_1,989,999
35_2,1052,1062
36_1,1130,1140
33_5,1190,1200
33_2,1245,1255
8_2,1302,1312
39_1,1369,1379
39_2,1431,1441
34_5,1490,1500
37_1,1564,1574
34_1,1620,1630
20_1,1837,1847
19_4,1919,1929
20_5,1993,2003
46_1,2056,2066
46_5,2115,2125
38_5,2175,2185
19_3,2236,2246
19_2,2291,2301
20_4,2349,2359
45_5,2408,2418
46_2,2470,2480
49_1,2533,2543
20_2,2596,2606
19_1,2655,2665
19_5,2723,2733
45_4,2800,2810
46_3,2880,2890
47_1,2935,2945
20_3,2994,3004
45_2,3060,3070
45_1,3121,3131
45_3,3177,3187
46_4,3242,3252
50_1,3319,3329
22_2,3395,3405
23_3,3451,3461
blk_24,3566,3576
