Egg,Cycle Start,Cycle Stop
blk_23,29,39
34_2,90,100
37_2,156,166
36_2,226,236
36_5,287,297
33_1,364,374
33_4,427,437
8_5,486,496
6_1,553,563
39_5,625,635
42_5,693,703
35_1,751,761
35_5,837,847
7_5,900,910
5_1,967,977
35_2,1035,1045
36_1,1111,1121
33_5,1175,1185
33_2,1230,1240
8_2,1287,1297
39_1,1352,1362
39_2,1414,1424
34_5,1469,1479
37_1,1548,1558
34_1,1604,1614
20_1,1820,1830
19_4,1899,1909
20_5,1974,1984
46_1,2040,2050
46_5,2097,2107
38_5,2159,2169
19_3,2220,2230
19_2,2275,2285
20_4,2334,2344
45_5,2390,2400
46_2,2452,2462
49_1,2515,2525
20_2,2573,2583
19_1,2635,2645
19_5,2699,2709
45_4,2761,2771
46_3,2859,2869
47_1,2918,2928
20_3,2972,2982
45_2,3045,3055
45_1,3101,3111
45_3,3162,3172
46_4,3222,3232
50_1,3297,3307
22_2,3375,3385
23_3,3435,3445
blk_24,3544,3554
