Egg,Cycle Start,Cycle Stop
22_5,25,35
22_4,160,170
48_5,232,242
48_4,365,375
48_3,425,435
48_1,500,510
22_3,565,575
23_1,621,631
49_5,696,706
47_3,761,771
50_3,820,830
49_2,882,892
40_1,953,963
23_3,1060,1070
47_4,1120,1130
49_4,1193,1203
49_3,1263,1273
50_2,1325,1335
40_5,1395,1405
47_5,1448,1458
50_5,1537,1547
50_4,1598,1608
48_2,1661,1671
47_7,1715,1725
27_3,1957,1967
27_2,2018,2028
29_4,2074,2084
29_2,2132,2142
38_1,2204,2214
40_2,2264,2274
30_4,2325,2335
43_3,2385,2395
27_4,2472,2482
43_4,2535,2545
22_1,2669,2679
23_2,2739,2749
43_2,2799,2809
28_3,2860,2870
27_1,2920,2930
28_1,2975,2985
40_4,3025,3035
41_1,3091,3101
29_3,3155,3165
43_1,3114,3124
28_4,3274,3284
28_5,3349,3359
38_2,3412,3422
blk_12,3570,3580
blk_13,3615,3625
