Egg,Cycle Start,Cycle Stop
blk_14,27,37
26_1,198,208
31_1,260,270
29_1,317,327
38_4,375,385
30_3,441,451
38_3,495,505
32_5,554,564
32_4,610,620
44_3,669,679
30_2,735,745
41_3,794,804
30_5,853,863
31_3,920,930
26_5,987,997
42_4,1056,1066
27_5,1114,1124
23_4,1171,1181
41_5,1235,1245
40_3,1293,1303
32_3,1643,1653
31_4,1750,1760
28_2,1812,1822
41_4,1872,1882
41_2,1930,1940
31_5,2277,2287
44_5,2392,2402
39_4,2493,2503
44_4,2565,2575
34_3,2679,2689
34_4,2745,2755
31_2,2808,2818
42_1,2884,2894
42_2,2950,2960
44_2,3009,3019
36_3,3078,3088
35_3,3144,3154
29_5,3210,3220
32_2,3309,3319
32_1,3380,3390
26_3,3448,3458
39_3,3512,3522
36_4,3577,3587
30_1,3644,3654
26_2,3704,3714
26_4,3763,3773
44_1,3835,3845
42_3,3891,3901
33_3,3953,3963
blk_15,4038,4048
