Egg,Cycle Start,Cycle Stop
blk_21,44,54
26_1,214,224
31_1,276,286
29_1,333,343
38_4,395,405
30_3,456,466
38_3,510,520
32_5,571,581
32_4,625,635
44_3,685,695
30_2,750,760
41_3,812,822
30_5,869,879
31_3,939,949
26_5,1014,1024
42_4,1071,1081
27_5,1130,1140
23_4,1190,1200
41_5,1251,1261
40_3,1309,1319
32_3,1658,1668
31_4,1770,1780
28_2,1832,1842
41_4,1889,1899
41_2,1945,1955
31_5,2294,2304
44_5,2409,2419
39_4,2511,2521
44_4,2580,2590
34_3,2698,2708
34_4,2764,2774
31_2,2825,2835
42_1,2906,2916
42_2,2966,2976
44_2,3022,3032
36_3,3095,3105
35_3,3164,3174
29_5,3229,3239
32_2,3326,3336
32_1,3397,3407
26_3,3464,3474
39_3,3528,3538
36_4,3593,3603
30_1,3660,3670
26_2,3722,3732
26_4,3787,3797
44_1,3852,3862
42_3,3915,3925
33_3,3978,3988
blk_22,4057,4067
