,AbsTime,RelTime,Cycle,m18.939 (B_m18.939) (Corr),m19.017 (B_m19.017) (Corr),m19.088 (B_m19.088) (Corr),m28.931 (B_m28.931) (Corr),m29.014 (B_m29.014) (Corr),m29.893 (B_m29.893) (Corr),m29.987 (B_m29.987) (Corr),m30.910 (B_m30.910) (Corr),m31.003 (B_m31.003) (Corr),m31.892 (B_m31.892) (Corr),m31.992 (B_m31.992) (Corr),m32.073 (B_m32.073) (Corr),m32.923 (B_m32.923) (Corr),m33.016 (B_m33.016) (Corr),m33.883 (B_m33.883) (Corr),m33.979 (B_m33.979) (Corr),m36.920 (B_m36.920) (Corr),m37.022 (B_m37.022) (Corr),m37.115 (B_m37.115) (Corr),m37.916 (B_m37.916) (Corr),m38.904 (B_m38.904) (Corr),m39.012 (B_m39.012) (Corr),m39.908 (B_m39.908) (Corr),m40.915 (B_m40.915) (Corr),m42.898 (B_m42.898) (Corr),m43.897 (B_m43.897) (Corr),m44.914 (B_m44.914) (Corr),m45.015 (B_m45.015) (Corr),m45.131 (B_m45.131) (Corr),m45.910 (B_m45.910) (Corr),m46.930 (B_m46.930) (Corr),m47.027 (B_m47.027) (Corr),m47.162 (B_m47.162) (Corr),m47.924 (B_m47.924) (Corr),m48.005 (B_m48.005) (Corr),m49.885 (B_m49.885) (Corr),m50.913 (B_m50.913) (Corr),m51.016 (B_m51.016) (Corr),m52.910 (B_m52.910) (Corr),m54.915 (B_m54.915) (Corr),m55.022 (B_m55.022) (Corr),m56.910 (B_m56.910) (Corr),m58.923 (B_m58.923) (Corr),m60.907 (B_m60.907) (Corr),m61.906 (B_m61.906) (Corr),m62.916 (B_m62.916) (Corr),m63.019 (B_m63.019) (Corr),m64.927 (B_m64.927) (Corr),m65.027 (B_m65.027) (Corr),m65.923 (B_m65.923) (Corr),m66.929 (B_m66.929) (Corr),m67.933 (B_m67.933) (Corr),m68.912 (B_m68.912) (Corr),m70.912 (B_m70.912) (Corr),m72.928 (B_m72.928) (Corr),m76.910 (B_m76.910) (Corr),m77.915 (B_m77.915) (Corr),m78.925 (B_m78.925) (Corr),m79.933 (B_m79.933) (Corr),m80.955 (B_m80.955) (Corr),m81.944 (B_m81.944) (Corr),m82.944 (B_m82.944) (Corr),m86.913 (B_m86.913) (Corr),m88.923 (B_m88.923) (Corr),m90.937 (B_m90.937) (Corr),m91.934 (B_m91.934) (Corr),m92.957 (B_m92.957) (Corr),m93.956 (B_m93.956) (Corr),m94.949 (B_m94.949) (Corr),m95.945 (B_m95.945) (Corr),m104.935 (B_m104.935) (Corr),m105.939 (B_m105.939) (Corr),m106.963 (B_m106.963) (Corr),m107.961 (B_m107.961) (Corr),m108.961 (B_m108.961) (Corr),m116.933 (B_m116.933) (Corr),m118.952 (B_m118.952) (Corr),m120.988 (B_m120.988) (Corr),m121.974 (B_m121.974) (Corr),m122.978 (B_m122.978) (Corr),m130.950 (B_m130.950) (Corr),m132.963 (B_m132.963) (Corr),m133.973 (B_m133.973) (Corr),m134.985 (B_m134.985) (Corr),m136.003 (B_m136.003) (Corr),m137.028 (B_m137.028) (Corr),m138.009 (B_m138.009) (Corr),m144.967 (B_m144.967) (Corr),m148.999 (B_m148.999) (Corr),m155.009 (B_m155.009) (Corr),m161.006 (B_m161.006) (Corr),m175.027 (B_m175.027) (Corr),m179.024 (B_m179.024) (Corr),m180.023 (B_m180.023) (Corr),m203.074 (B_m203.074) (Corr),m204.070 (B_m204.070) (Corr),m217.084 (B_m217.084) (Corr),m227.105 (B_m227.105) (Corr),m228.082 (B_m228.082) (Corr),m229.084 (B_m229.084) (Corr),m230.093 (B_m230.093) (Corr),m241.087 (B_m241.087) (Corr),m329.790 (B_m329.790) (Corr),m429.071 (B_m429.071) (Corr),group_id
24,45005.8642,24.0,25.0,828645.8,2668.0609999999997,166.774,12179.85,455.4207,33934.57,465.4497,24009.9,390.7703,694956.2,563.6575,69.51965,13065.79,250.7575,1405.0610000000001,13209.07,168825.2,625.7103,68.31454000000001,192.6528,2279.049,111.0305,318.528,2426.641,78335.41,1437.261,168696.5,2073.685,105.9169,2368.4120000000003,59833.88,1400.8410000000001,39.54555,950.0036,91.2857,103.1549,1406.529,115.0242,4097.4529999999995,2473.5789999999997,264.8421,1237.899,538.6742,7303.566,170.6418,3787.468,301.4828,3470.502,496.3691,516.1364,29269.57,12024.75,1358.3970000000002,493.2373,160.6605,3729.842,1013.779,25620.89,21948.39,127237.5,4972.597,292.9728,104.7211,385.4839,7435.701999999999,34819.06,295132.8,85426.73,28466.31,1075.2060000000001,502.0641,466.2523,62198.48,14673.0,1123.1660000000002,34.5118,832.0799,92886.46,3815.865,395.8625,23.764979999999998,79.23724,336.9609,1681.8970000000002,39799.43,110549.6,4724.351,14.30585,530.7719,460.8386,438.9913,65.49743000000001,5612.996,369.9309,2602.815,500.453,352.0575,196.0035,36.02277,154.4339,261.5523,9.005152,67.04356999999999,2.000644,22_5
25,45005.8642,25.0,26.0,849107.5,2134.85,83.38699,11257.42,387.349,32243.67,386.7845,16515.45,342.6163,609171.4,738.2845,84.22775,13330.53,177.3035,1180.806,21134.55,214639.2,892.5031,116.7669,184.2762,2107.49,118.9796,441.8912,2131.076,67875.83,1499.146,162861.2,2071.39,114.0301,2576.197,64860.61,1509.401,50.84446,892.9541,181.946,103.173,1879.1629999999998,201.7516,4118.865,3349.1740000000004,276.9734,1389.6329999999998,582.9358,9056.851999999999,182.1469,4559.566,464.7368,4052.974,545.3532,441.5789,30059.18,11823.98,1300.985,432.6299,267.1125,3554.2309999999998,1000.7280000000001,25937.5,22136.83,138130.6,5379.847,294.4731,102.674,446.6367,7503.399,34948.45,302867.6,89039.45,30166.55,1127.385,531.4392,385.1108,62895.23,15107.41,1229.07,32.89413,870.3699,95381.0,4042.574,449.978,19.80412,66.24261,355.1808,1792.014,41953.74,121100.4,5052.210999999999,19.78229,459.8549,613.5358,376.6929,64.47811,5703.358,363.6834,2813.5440000000003,529.9252,348.971,182.4185,52.0332,172.2274,311.3563,10.00579,65.0423,2.001288,22_5
26,45005.8642,26.0,27.0,890666.8,1918.154,500.3219,11716.92,563.7975,32463.52,335.8008,15389.65,163.1288,567041.9,747.0706,144.0052,14024.9,176.0064,1144.766,7500.813,247254.3,975.0457,98.73388,217.7817,2283.308,95.24656999999999,350.7307,2525.551,63092.29,1312.815,161961.0,2172.272,91.23383000000001,2587.634,66872.78,1803.4189999999999,79.09128,999.7956,110.0677,108.3317,2130.464,146.9323,4071.366,4041.011,344.3381,1417.259,565.4034,10418.56,238.6082,4884.225,321.1769,4681.102,626.0939,469.8016,30171.84,12041.1,1430.1760000000002,604.8238,230.8481,3679.1009999999997,936.5643,25162.98,22622.72,143163.2,5544.838000000001,286.4051,110.3858,354.8054,7408.406,34882.44,305290.7,89861.28,30940.18,1155.476,520.2679,442.1824,63646.0,15025.47,1191.165,36.01243,846.1174,96044.1,3992.074,425.2124,30.366290000000003,78.08452,356.1511,1657.594,43667.18,126140.1,5331.295999999999,19.07445,396.6831,735.0237,403.9318,48.10263,5537.3240000000005,367.9045,2874.6940000000004,468.9478,400.2227,187.28,43.02787,191.2832,313.1655,12.00773,55.035709999999995,1.0,22_5
27,45005.8642,27.0,28.0,902324.8,2443.502,250.161,12299.91,477.7628,32262.88,312.8275,12918.01,148.6826,544158.8,605.1489,84.74776,14705.12,239.9156,1067.281,5283.6269999999995,273317.2,958.5062,148.6526,351.8032,2156.761,63.39295,450.171,2511.3360000000002,60202.66,1374.411,164996.1,1974.655,91.23373000000001,2631.8379999999997,70593.61,1444.0120000000002,59.15282,1018.3919999999999,142.3482,92.85625,2344.393,181.4555,4235.082,4540.755,273.966,1240.803,666.2418,11603.33,261.457,5328.951,351.4483,4702.666,589.3115,529.2168,29375.01,12224.7,1397.057,515.3657,169.9925,3529.0690000000004,1117.556,25227.58,22769.96,147192.2,5596.829000000001,312.5013,106.9625,430.46,7361.465999999999,34692.9,301198.2,91578.87,31856.66,1177.767,535.196,447.0096,63564.08,15276.37,1276.639,40.29116,896.5178,95750.3,3865.59,374.6103,37.26605,79.40961,365.2511,1762.161,43962.64,129139.3,5520.358,10.728589999999999,415.0095,837.0566,412.671,65.94135,5535.029,335.5955,3010.137,528.827,469.4986,165.8226,40.02596,176.2484,303.757,17.01096,67.04284,3.001288,22_5
28,45005.8642,28.0,29.0,944893.2,1778.254,166.774,12704.31,416.769,30841.68,274.4879,12260.6,185.7451,530254.9,529.0444,84.74835999999999,15909.0,310.941,1091.586,28197.7,295889.9,888.5852,69.95452,235.205,2031.524,134.9064,362.6227,2212.0860000000002,58832.5,1247.368,163482.5,2156.798,85.17326,2796.105,72762.35,1533.632,71.91991,1112.3039999999999,173.5498,128.9671,2323.408,164.1111,4020.3940000000002,5042.741,362.3772,1272.655,670.2631,12569.34,277.1473,5465.271,433.1313,4831.115,624.3896,502.1534,29507.51,12435.86,1430.026,576.3082,213.1269,3498.0429999999997,974.8624,25141.27,22728.33,149249.9,5848.776999999999,335.4275,135.5345,435.2855,7223.816999999999,34654.63,304012.1,91459.46,31505.13,1120.5439999999999,533.7128,463.7135,63486.56,15275.33,1264.372,39.0135,867.1114,96442.94,3934.853,399.8779,25.08523,84.64195,371.9478,1810.033,43966.07,130754.4,5531.969,19.07449,425.8893,849.0292,375.6896,58.337340000000005,5378.105,361.4031,2972.387,541.9692,466.732,201.9035,34.02197,200.3116,285.5886,7.003863000000001,51.20163,3.001288,22_5
29,45005.8642,29.0,30.0,952042.1,1651.2979999999998,166.774,13082.6,427.3884,33369.7,244.6588,12044.26,122.1821,519280.5,570.0573,90.47073,15084.16,148.6547,1216.353,18502.28,319261.3,1068.509,104.9317,226.1581,2412.342,128.8539,360.8691,2554.188,57544.22,1327.0279999999998,162591.0,1702.685,114.4702,2407.404,73975.28,1560.0320000000002,27.03316,1090.5710000000001,131.9257,103.1732,2388.381,156.1728,3774.4959999999996,5124.189,382.7751,1298.663,767.3961,12926.23,310.8685,5969.401999999999,445.7385,5347.634,593.3495,527.8941,29254.42,12343.75,1571.8039999999999,557.3645,230.717,3464.7129999999997,933.4004,25644.37,22814.35,151737.7,5536.7390000000005,376.7635,120.798,364.5992,7251.885,34562.7,301103.2,91408.57,31408.69,1180.49,565.6652,409.8669,63481.39,15298.75,1243.39,43.51511,829.76,96164.91,3964.387,390.359,29.046090000000003,63.64909,385.4675,1619.307,43593.08,133105.8,5509.278,19.917360000000002,407.4688,1009.018,375.515,50.1495,5158.293,378.1845,2883.583,523.7662,407.9047,196.1098,49.03115,185.261,344.1651,14.008389999999999,66.04297,3.001288,22_5
30,45005.8642,30.0,31.0,976191.5,2453.188,250.161,12343.81,378.1716,33107.22,236.9368,11007.42,129.2884,516178.8,653.3887,169.4963,16526.41,238.6811,983.5007,7925.441,336995.6,1130.4260000000002,130.2764,259.6628,2232.052,127.9511,401.9269,2275.46,55311.22,1305.4360000000001,162709.0,2041.7679999999998,72.98676999999999,2475.022,75852.58,1589.115,58.10459,1302.2089999999998,209.7811,97.61189,2572.927,165.4689,3763.952,5335.988,336.8262,1360.1529999999998,751.0096,13651.79,281.1703,6260.034000000001,431.7701,5334.022,677.9078,607.1649,29587.91,12534.26,1431.9589999999998,579.0804,214.7107,3652.796,1015.117,25637.95,22979.51,151523.4,5684.778,315.6716,137.069,425.6795,7118.486,34900.76,305304.4,91993.23,31347.5,1209.684,519.3804,473.5078,63694.73,15608.6,1166.269,42.01455,866.3035,95987.33,3962.8720000000003,407.2858,19.80238,46.762640000000005,376.9967,1667.683,44389.02,132547.3,5419.875,9.532195,361.3579,1011.4760000000001,391.9905,64.47808,5290.6359999999995,348.6515,2976.881,533.5128,423.9445,179.7378,32.462709999999994,187.6909,312.918,17.01032,65.27601,2.000644,22_5
31,45005.8642,31.0,32.0,1011513.0,2899.309,333.5479,12834.86,527.5529,33609.95,440.9699,10150.96,132.6917,511072.8,698.8686,84.74795999999999,17048.33,241.3997,943.0776,17502.01,351153.3,1001.95,140.5919,296.2793,2183.448,89.7267,447.4595,2546.399,54752.13,1155.5919999999999,165424.4,2076.249,98.64655,2345.476,77535.66,1652.54,16.94809,1132.238,148.6198,30.951940000000004,2557.778,194.7674,4068.27,5993.428000000001,420.5212,1555.251,631.0458,13707.07,261.4034,6337.263000000001,525.4443,5372.411999999999,684.0146,629.5186,29748.09,12563.86,1498.63,665.6829,168.3565,3617.93,1057.579,25137.84,22687.71,152061.1,5612.549,408.4339,109.3979,356.7292,7173.38,34913.73,303985.4,91297.35,31687.92,1199.029,586.2343,416.3475,63162.55,15239.83,1271.2930000000001,42.01445,844.2606,96133.19,3872.639,405.5557,27.725790000000003,72.74226999999999,415.2388,1815.9289999999999,43817.5,133181.8,5575.706,13.113660000000001,404.793,1029.343,393.168,57.72945,5117.404,337.2276,2875.127,563.8693,469.2207,160.4975,40.026,190.7616,345.3653,13.00778,52.03376,3.000644,22_5
32,45005.8643,32.0,33.0,1018090.0,1899.425,333.5479,12747.55,383.0861,33298.82,503.8307,10255.18,133.5346,509867.5,843.4484,81.81605,16898.98,249.754,1102.803,20205.79,364720.7,1027.003,157.4296,301.4205,2401.35,138.8836,386.4938,2557.02,53539.82,1220.021,162601.8,2094.869,72.98685,2296.9610000000002,77597.73,1751.49,62.143190000000004,1155.792,107.3229,61.90371999999999,2628.052,153.169,4064.158,5998.729,417.0186,1421.461,762.0647,14415.13,258.4068,6614.899,497.6897,5536.606,845.4485,572.4896,29820.23,12380.31,1532.9920000000002,590.0233,191.2314,3657.6,1068.624,25699.05,22775.74,152295.9,5805.258000000001,329.6226,68.4902,399.3589,7153.775,35080.54,303771.7,92139.23,32001.77,1203.281,555.7158,451.5869,62848.71,15218.77,1201.6989999999998,64.07695,837.5129,95598.11,4013.3459999999995,394.0112,29.299229999999998,78.06548000000001,373.5618,1687.102,43954.96,134086.7,5563.986,19.07447,342.6204,1080.604,357.8684,52.19656,5036.513,353.2464,2838.71,562.4498,439.3436,172.4837,45.498290000000004,177.2406,308.2252,8.004507,72.04691,4.001932,22_5
33,45005.8643,33.0,34.0,1037032.0,2352.576,0.0,13319.17,338.4496,34189.83,446.6007,10003.09,124.051,507629.5,833.5779,96.38186999999999,16607.97,171.6125,921.5093,13209.07,375916.2,1024.49,113.676,276.4149,2404.583,124.478,402.9921,2365.508,53251.16,1308.055,163631.1,1854.855,106.059,2397.0,78207.06,1763.608,67.79273,1227.694,183.5124,123.083,2845.502,272.0214,4119.155,6426.38,457.8834,1499.517,782.43,14899.17,309.4786,6812.433000000001,507.0801,5721.278,708.6399,548.0383,29397.46,12380.33,1531.8770000000002,675.8683,218.3961,3513.026,1010.2819999999999,25400.53,23147.02,152164.9,5351.491999999999,428.7591,117.9308,476.6853,7125.286999999999,34817.12,303665.9,91952.26,31655.88,1188.354,508.4587,421.0323,62648.16,15211.94,1270.388,37.51292,789.2475,96100.91,3772.409,367.8944,29.231720000000003,85.15384,383.4423,1762.2579999999998,43899.59,132933.5,5531.175,16.68595,407.3605,1095.901,377.7589,47.07541,5196.68,347.0229,2890.11,506.6459,441.2592,181.8451,41.4566,192.3056,325.058,11.00708,62.0397,1.0,22_5
