,AbsTime,RelTime,Cycle,m18.939 (B_m18.939) (Corr),m19.017 (B_m19.017) (Corr),m19.088 (B_m19.088) (Corr),m28.931 (B_m28.931) (Corr),m29.014 (B_m29.014) (Corr),m29.893 (B_m29.893) (Corr),m29.987 (B_m29.987) (Corr),m30.910 (B_m30.910) (Corr),m31.003 (B_m31.003) (Corr),m31.892 (B_m31.892) (Corr),m31.992 (B_m31.992) (Corr),m32.073 (B_m32.073) (Corr),m32.923 (B_m32.923) (Corr),m33.016 (B_m33.016) (Corr),m33.883 (B_m33.883) (Corr),m33.979 (B_m33.979) (Corr),m36.920 (B_m36.920) (Corr),m37.022 (B_m37.022) (Corr),m37.115 (B_m37.115) (Corr),m37.916 (B_m37.916) (Corr),m38.904 (B_m38.904) (Corr),m39.012 (B_m39.012) (Corr),m39.908 (B_m39.908) (Corr),m40.915 (B_m40.915) (Corr),m42.898 (B_m42.898) (Corr),m43.897 (B_m43.897) (Corr),m44.914 (B_m44.914) (Corr),m45.015 (B_m45.015) (Corr),m45.131 (B_m45.131) (Corr),m45.910 (B_m45.910) (Corr),m46.930 (B_m46.930) (Corr),m47.027 (B_m47.027) (Corr),m47.162 (B_m47.162) (Corr),m47.924 (B_m47.924) (Corr),m48.005 (B_m48.005) (Corr),m49.885 (B_m49.885) (Corr),m50.913 (B_m50.913) (Corr),m51.016 (B_m51.016) (Corr),m52.910 (B_m52.910) (Corr),m54.915 (B_m54.915) (Corr),m55.022 (B_m55.022) (Corr),m56.910 (B_m56.910) (Corr),m58.923 (B_m58.923) (Corr),m60.907 (B_m60.907) (Corr),m61.906 (B_m61.906) (Corr),m62.916 (B_m62.916) (Corr),m63.019 (B_m63.019) (Corr),m64.927 (B_m64.927) (Corr),m65.027 (B_m65.027) (Corr),m65.923 (B_m65.923) (Corr),m66.929 (B_m66.929) (Corr),m67.933 (B_m67.933) (Corr),m68.912 (B_m68.912) (Corr),m70.912 (B_m70.912) (Corr),m72.928 (B_m72.928) (Corr),m76.910 (B_m76.910) (Corr),m77.915 (B_m77.915) (Corr),m78.925 (B_m78.925) (Corr),m79.933 (B_m79.933) (Corr),m80.955 (B_m80.955) (Corr),m81.944 (B_m81.944) (Corr),m82.944 (B_m82.944) (Corr),m86.913 (B_m86.913) (Corr),m88.923 (B_m88.923) (Corr),m90.937 (B_m90.937) (Corr),m91.934 (B_m91.934) (Corr),m92.957 (B_m92.957) (Corr),m93.956 (B_m93.956) (Corr),m94.949 (B_m94.949) (Corr),m95.945 (B_m95.945) (Corr),m104.935 (B_m104.935) (Corr),m105.939 (B_m105.939) (Corr),m106.963 (B_m106.963) (Corr),m107.961 (B_m107.961) (Corr),m108.961 (B_m108.961) (Corr),m116.933 (B_m116.933) (Corr),m118.952 (B_m118.952) (Corr),m120.988 (B_m120.988) (Corr),m121.974 (B_m121.974) (Corr),m122.978 (B_m122.978) (Corr),m130.950 (B_m130.950) (Corr),m132.963 (B_m132.963) (Corr),m133.973 (B_m133.973) (Corr),m134.985 (B_m134.985) (Corr),m136.003 (B_m136.003) (Corr),m137.028 (B_m137.028) (Corr),m138.009 (B_m138.009) (Corr),m144.967 (B_m144.967) (Corr),m148.999 (B_m148.999) (Corr),m155.009 (B_m155.009) (Corr),m161.006 (B_m161.006) (Corr),m175.027 (B_m175.027) (Corr),m179.024 (B_m179.024) (Corr),m180.023 (B_m180.023) (Corr),m203.074 (B_m203.074) (Corr),m204.070 (B_m204.070) (Corr),m217.084 (B_m217.084) (Corr),m227.105 (B_m227.105) (Corr),m228.082 (B_m228.082) (Corr),m229.084 (B_m229.084) (Corr),m230.093 (B_m230.093) (Corr),m241.087 (B_m241.087) (Corr),m329.790 (B_m329.790) (Corr),m429.071 (B_m429.071) (Corr),group_id
42,45005.8644,42.0,43.0,1139192.0,2638.348,170.1942,10924.52,346.4555,26016.6,188.8227,9263.841999999999,105.7435,536091.2,767.1874,173.0195,16464.14,226.2465,929.8314,22447.52,425135.1,968.1118,61.209959999999995,389.906,26169.24,318.8676,1593.086,1944.4679999999998,21083.12,878.5704,75765.47,1275.986,66.90464,1332.4089999999999,59195.55,1519.479,50.84437,992.7945,157.0414,1538.5839999999998,6542.031999999999,301.9781,6861.304,7408.4890000000005,333.639,3373.3759999999997,1039.894,4241.45,101.493,3530.397,289.6826,6880.493,733.7808,527.0587,4399.902,7005.665,6578.396,1839.056,179.1779,3710.133,850.2599,12048.11,5084.335,56384.21,2494.833,358.2304,2404.9970000000003,270.1506,101509.1,14424.64,61486.55,14204.07,31019.34,1289.505,3895.4240000000004,420.0543,12615.31,2947.02,657.8203,242.8709,791.1231,17328.03,900.2339,297.0853,262.996,211.1414,162.9314,1385.983,11999.08,53766.86,2369.886,171.6521,173.0284,1037.792,141.6226,614.4232,797.1915,91.38358000000001,179.3039,119.6692,96.68824000000001,4439.981,419.6941,77.95716999999999,73.04687,225.1906,50.03195,1.0,22_5
43,45005.8644,43.0,44.0,1150921.0,2138.935,250.161,10285.22,300.9587,26092.42,364.0052,8882.905,107.5433,532661.6,539.5807,158.3822,16551.61,257.0681,1052.4569999999999,9844.883,438316.7,849.713,152.1711,517.7664,25719.36,366.0102,1550.119,1895.6170000000002,21104.07,914.6916,75927.46,1232.735,72.98697,1219.14,59724.96,1362.912,50.84437,936.0465,90.67147,1687.7089999999998,6228.445,227.7936,6832.428000000001,7352.938,305.124,3221.887,981.112,4311.803,146.0231,3380.631,281.6582,7370.147,853.6896,530.4329,4308.45,6889.535,6898.467,1848.514,175.009,3616.74,880.4616,12253.89,5110.023,55795.86,2429.999,334.7916,2417.7129999999997,324.1754,102091.8,14627.64,61968.68,13894.94,31316.01,1266.129,3883.783,435.9055,12724.87,2958.6059999999998,614.3451,223.9576,757.8964,17580.48,892.701,294.3301,282.2929,188.9863,136.6268,1496.755,12273.53,54037.92,2411.113,179.3771,187.4097,1174.2730000000001,144.4716,605.9011,845.7934,94.74128,201.3343,96.9033,112.51,4417.983,382.1509,85.08345,78.0512,246.1356,48.03119,3.001288,22_5
44,45005.8644,44.0,45.0,1170062.0,2422.853,250.161,11072.01,292.2232,26912.16,360.0014,9446.558,132.5956,538539.6,534.5677,74.20179,16937.04,263.154,1084.904,5820.246,449423.2,828.4237,121.6003,377.8141,26489.86,290.7141,1375.3470000000002,2045.692,21280.71,965.5144,77192.99,1160.132,72.98686,1376.898,59432.24,1343.287,45.19491,1031.101,126.5502,1639.646,6029.845,208.9537,6737.342,7085.865,315.0378,3490.6220000000003,1054.513,4599.692,123.576,3620.438,210.3871,7300.555,691.7344,556.7696,4117.218,6922.531,6887.453,1808.5839999999998,136.6007,3766.5209999999997,884.0852,12340.37,5287.196,57200.8,2459.271,330.9656,2584.087,276.7177,102651.7,14881.42,62812.96,14238.92,31798.54,1252.7930000000001,3915.914,393.1616,12854.03,2985.118,601.9739,236.1497,761.9905,17586.76,976.5836,276.9253,285.1889,193.7996,140.5019,1378.943,12286.11,54071.52,2390.18,183.7069,180.7477,1018.133,144.2722,663.9855,810.8678,87.94064,195.3223,88.73006,111.091,4503.625,388.8559,79.64613,75.39295,207.49,39.61939,1.0,22_5
45,45005.8644,45.0,46.0,1183724.0,1790.777,166.774,11130.88,291.9874,26889.86,238.5909,9034.511,132.2621,534141.6,547.2845,45.306,17775.66,288.9333,1105.879,13209.11,459320.7,668.4131,82.23376,495.9062,26856.05,348.4892,1776.7220000000002,2113.784,20300.79,984.77,78297.24,1103.9560000000001,63.875409999999995,1362.743,61114.48,1324.6270000000002,73.44181999999999,923.6812,79.69141,1599.125,6222.776,263.3549,6843.1,7402.19,359.0495,3363.42,1134.734,4471.91,99.94242,3749.348,218.8655,7126.485,720.7932,615.3475,4164.309,7259.5,6998.159000000001,1865.754,182.1353,3794.571,900.8271,12654.68,5080.185,56285.13,2355.947,311.4513,2519.326,257.7149,103556.1,14839.77,62831.56,14203.61,32016.34,1309.392,3971.9309999999996,366.3788,12764.58,3023.869,605.3322,263.4128,819.2595,17639.68,878.3922,324.8552,288.6564,209.5147,180.0078,1452.896,12395.7,54859.79,2278.7870000000003,155.0753,158.2846,1164.693,150.6775,598.4833,759.6649,85.35916999999999,197.385,108.089,115.0972,4535.273,378.3045,87.05674,89.88698000000001,212.5777,53.034369999999996,1.0,22_5
46,45005.8644,46.0,47.0,1191810.0,2685.138,166.774,9982.313,279.5731,27916.72,255.1887,9436.091999999999,141.7682,539154.8,694.2402,64.88521,16546.74,274.4884,1217.259,10567.25,461373.8,875.3138,81.77266999999999,382.0032,26761.8,252.0074,1474.9660000000001,1949.507,21103.14,893.1624,79255.66,1064.774,60.82232,1313.829,62361.38,1227.323,79.09175,966.3362,157.6457,1696.511,6367.491999999999,218.5212,6914.374,7847.427,360.0167,3497.949,1148.006,4641.26,116.0879,3711.3379999999997,335.5543,7244.773,740.7388,555.1458,4347.282,7382.206999999999,7059.825,1904.82,145.7076,3829.0,951.9521,12358.17,5094.103,56991.98,2461.5170000000003,366.984,2418.824,286.539,104442.9,15186.68,63367.6,14187.16,31577.68,1298.392,3989.844,351.76,13154.01,3050.7070000000003,665.9883,267.3376,777.8748,17750.81,942.8973,293.681,315.9768,192.2341,144.8692,1414.79,12449.45,54683.99,2348.194,179.1127,172.2653,1200.355,157.5176,638.1685,790.6718,89.37178,185.5903,79.65347,122.2187,4515.267,405.9855,72.04696,65.65221,217.5752,46.026270000000004,0.0,22_5
47,45005.8644,47.0,48.0,1186138.0,1541.115,166.774,10769.57,264.445,27642.37,116.4989,9620.949,225.3832,541108.9,517.7314,60.534319999999994,17020.12,271.4684,1225.366,8523.976999999999,471171.6,794.0784,148.2773,376.9332,27054.75,345.832,1570.875,1904.9279999999999,21220.14,1145.479,80966.33,1085.599,66.90465,1416.0929999999998,63059.14,1235.04,45.19492,1022.828,126.5308,1680.043,6294.295999999999,238.9214,6772.12,7721.243,354.4633,3480.259,1020.931,4650.36,146.0493,3689.4759999999997,266.2878,7430.4890000000005,735.4103,552.3758,4327.852,7115.683000000001,7254.445,1945.84,185.1601,3758.623,800.0347,12355.11,5235.085999999999,57112.42,2487.5429999999997,340.8619,2390.435,279.359,104115.4,14858.32,63620.06,14430.83,32302.8,1211.5639999999999,3886.405,446.0974,13091.97,3177.935,633.7696,256.7852,764.1423,17777.54,957.1311,301.5006,252.337,225.8818,148.037,1420.0720000000001,12384.96,54824.41,2311.314,174.1654,169.9304,1143.9260000000002,129.7309,632.6863,800.2375,94.09116999999999,158.1915,94.06918,111.0948,4474.732,375.121,81.05686999999999,86.05559000000001,219.6741,59.0385,1.0,22_5
48,45005.8644,48.0,49.0,1194052.0,2218.965,166.774,11589.11,241.2788,28348.77,111.8416,10176.04,175.7844,553545.1,591.929,82.33604,18368.71,195.0317,1161.9,5283.6269999999995,479338.7,772.0622,43.7213,543.3184,28041.48,332.3216,1620.0610000000001,2213.904,20794.97,973.1802,80570.55,1064.624,60.82232,1429.717,63041.84,1512.445,44.30135,1199.718,89.42213000000001,1581.3270000000002,6102.526,228.1952,6655.693,8017.744000000001,395.8455,3643.7529999999997,1160.948,4899.045,124.6226,3989.04,280.0313,7375.295,751.3027,570.2827,4558.309,7065.143,7122.405,1916.079,203.0,3758.843,941.713,13051.39,5123.787,56764.74,2581.737,296.2015,2409.71,289.9745,104747.1,15185.03,64279.25,14481.4,32415.98,1284.235,4326.021,356.2315,13561.53,3069.869,651.6453,261.4049,801.3795,17983.19,900.416,310.6703,287.3178,212.1546,158.5215,1449.3929999999998,12556.23,55382.53,2385.9539999999997,206.92,172.7892,1127.7910000000002,177.7767,677.2895,818.9062,95.41502,215.9154,85.85319,125.129,4424.656,396.9595,93.06076,84.05490999999999,224.4601,64.04158000000001,4.001305,22_5
49,45005.8644,49.0,50.0,1193686.0,1711.9289999999999,92.99603,11466.06,348.3725,29362.85,261.5636,9851.249,53.346869999999996,557276.6,679.8993,96.85479000000001,17662.79,311.4461,1016.903,9953.239,480194.4,794.9514,74.3776,464.2946,27047.03,243.2203,1656.865,2242.242,21176.78,1026.657,79732.87,1194.538,64.73071999999999,1287.745,63726.09,1189.552,50.84455,1080.813,104.9063,1835.543,6001.07,233.3633,6908.983,8015.143,308.7175,3390.135,1158.941,4544.627,131.9822,3697.3390000000004,262.9895,7499.698,648.4251,504.5887,4588.976,6986.829000000001,7074.479,1982.66,157.8505,3899.695,907.4421,12585.41,5082.971,57553.52,2414.093,311.0905,2452.634,339.5448,105658.1,15610.5,64272.89,14471.84,32543.67,1132.935,3956.627,401.4196,13424.62,3070.634,677.7913,243.2787,792.4253,18545.72,921.1707,296.0204,286.9999,200.7908,152.1093,1490.854,12408.15,55166.26,2321.948,211.414,168.7715,1165.162,160.2874,630.6915,785.3926,85.35563,159.1959,104.6269,113.11,4429.6720000000005,370.1109,88.05775,78.78577,219.7047,55.03591,2.000644,22_5
50,45005.8645,50.0,51.0,1235398.0,2506.919,166.774,11533.65,258.4095,28458.7,281.5312,9821.501,169.5698,554883.4,652.398,126.3654,18338.43,308.7795,1055.2830000000001,11991.36,493589.2,838.5275,78.69849,460.6956,28206.5,253.3759,1405.638,2062.2670000000003,21776.71,1110.998,82225.77,902.5225,48.657779999999995,1454.683,64686.36,1316.273,64.4822,1056.902,96.0631,1645.1889999999999,6882.335,237.3177,7186.35,8130.941999999999,379.1446,3662.052,1103.6760000000002,4776.389,129.8394,3839.855,269.5825,7456.326999999999,697.28,525.8542,4506.625,7217.065,7127.2,1918.618,133.5656,3812.7509999999997,918.2003,12744.03,5449.531,58181.66,2358.0570000000002,338.374,2541.226,252.4752,106876.3,15759.06,64631.0,14850.05,33024.72,1258.5839999999998,4052.302,474.7011,13262.42,3239.204,650.7001,256.5902,806.6572,18620.1,896.6623,303.0267,297.1935,216.589,148.2442,1454.9270000000001,12569.69,55367.19,2471.601,163.4606,176.3215,1193.018,143.8285,598.1578,837.1706,96.45241999999999,207.6794,102.078,110.0906,4571.16,362.0584,97.04784000000001,76.29995,207.3553,52.03373,5.002576,22_5
51,45005.8645,51.0,52.0,1232223.0,2168.763,83.38699,11289.17,366.3281,29073.0,307.0616,9829.788,198.584,569796.3,556.5827,108.9616,18275.43,232.8564,1099.172,10567.3,494500.7,918.6029,104.9313,397.6922,27854.04,268.0327,1697.984,2102.64,21464.45,1039.895,80393.56,1069.368,72.98686,1479.0639999999999,65644.81,1347.445,23.535339999999998,1049.991,121.1738,1725.2520000000002,6337.383000000001,236.1083,6954.847,8228.499,346.7798,3627.692,1037.137,4876.38,149.8077,3775.625,289.8445,7229.1140000000005,756.9818,553.3754,4291.0779999999995,7125.759,7255.0869999999995,1861.3729999999998,212.491,4066.191,913.7415,13033.49,5349.0,58124.88,2376.42,345.9739,2499.312,239.6931,106486.4,15134.46,65941.97,14973.76,33036.7,1263.605,4137.748,416.4866,13470.11,3168.363,666.0618,241.1859,745.109,18309.23,953.8864,353.0428,263.1692,215.8475,163.6965,1463.934,12913.48,56080.3,2290.266,202.8222,181.9241,1159.542,163.2728,684.1856,840.632,91.32523,171.2337,116.0439,118.5838,4540.749,413.255,80.09136,75.06461999999999,206.5492,60.03918,3.001932,22_5
