,AbsTime,RelTime,Cycle,m18.939 (B_m18.939) (Corr),m19.017 (B_m19.017) (Corr),m19.088 (B_m19.088) (Corr),m28.931 (B_m28.931) (Corr),m29.014 (B_m29.014) (Corr),m29.893 (B_m29.893) (Corr),m29.987 (B_m29.987) (Corr),m30.910 (B_m30.910) (Corr),m31.003 (B_m31.003) (Corr),m31.892 (B_m31.892) (Corr),m31.992 (B_m31.992) (Corr),m32.073 (B_m32.073) (Corr),m32.923 (B_m32.923) (Corr),m33.016 (B_m33.016) (Corr),m33.883 (B_m33.883) (Corr),m33.979 (B_m33.979) (Corr),m36.920 (B_m36.920) (Corr),m37.022 (B_m37.022) (Corr),m37.115 (B_m37.115) (Corr),m37.916 (B_m37.916) (Corr),m38.904 (B_m38.904) (Corr),m39.012 (B_m39.012) (Corr),m39.908 (B_m39.908) (Corr),m40.915 (B_m40.915) (Corr),m42.898 (B_m42.898) (Corr),m43.897 (B_m43.897) (Corr),m44.914 (B_m44.914) (Corr),m45.015 (B_m45.015) (Corr),m45.131 (B_m45.131) (Corr),m45.910 (B_m45.910) (Corr),m46.930 (B_m46.930) (Corr),m47.027 (B_m47.027) (Corr),m47.162 (B_m47.162) (Corr),m47.924 (B_m47.924) (Corr),m48.005 (B_m48.005) (Corr),m49.885 (B_m49.885) (Corr),m50.913 (B_m50.913) (Corr),m51.016 (B_m51.016) (Corr),m52.910 (B_m52.910) (Corr),m54.915 (B_m54.915) (Corr),m55.022 (B_m55.022) (Corr),m56.910 (B_m56.910) (Corr),m58.923 (B_m58.923) (Corr),m60.907 (B_m60.907) (Corr),m61.906 (B_m61.906) (Corr),m62.916 (B_m62.916) (Corr),m63.019 (B_m63.019) (Corr),m64.927 (B_m64.927) (Corr),m65.027 (B_m65.027) (Corr),m65.923 (B_m65.923) (Corr),m66.929 (B_m66.929) (Corr),m67.933 (B_m67.933) (Corr),m68.912 (B_m68.912) (Corr),m70.912 (B_m70.912) (Corr),m72.928 (B_m72.928) (Corr),m76.910 (B_m76.910) (Corr),m77.915 (B_m77.915) (Corr),m78.925 (B_m78.925) (Corr),m79.933 (B_m79.933) (Corr),m80.955 (B_m80.955) (Corr),m81.944 (B_m81.944) (Corr),m82.944 (B_m82.944) (Corr),m86.913 (B_m86.913) (Corr),m88.923 (B_m88.923) (Corr),m90.937 (B_m90.937) (Corr),m91.934 (B_m91.934) (Corr),m92.957 (B_m92.957) (Corr),m93.956 (B_m93.956) (Corr),m94.949 (B_m94.949) (Corr),m95.945 (B_m95.945) (Corr),m104.935 (B_m104.935) (Corr),m105.939 (B_m105.939) (Corr),m106.963 (B_m106.963) (Corr),m107.961 (B_m107.961) (Corr),m108.961 (B_m108.961) (Corr),m116.933 (B_m116.933) (Corr),m118.952 (B_m118.952) (Corr),m120.988 (B_m120.988) (Corr),m121.974 (B_m121.974) (Corr),m122.978 (B_m122.978) (Corr),m130.950 (B_m130.950) (Corr),m132.963 (B_m132.963) (Corr),m133.973 (B_m133.973) (Corr),m134.985 (B_m134.985) (Corr),m136.003 (B_m136.003) (Corr),m137.028 (B_m137.028) (Corr),m138.009 (B_m138.009) (Corr),m144.967 (B_m144.967) (Corr),m148.999 (B_m148.999) (Corr),m155.009 (B_m155.009) (Corr),m161.006 (B_m161.006) (Corr),m175.027 (B_m175.027) (Corr),m179.024 (B_m179.024) (Corr),m180.023 (B_m180.023) (Corr),m203.074 (B_m203.074) (Corr),m204.070 (B_m204.070) (Corr),m217.084 (B_m217.084) (Corr),m227.105 (B_m227.105) (Corr),m228.082 (B_m228.082) (Corr),m229.084 (B_m229.084) (Corr),m230.093 (B_m230.093) (Corr),m241.087 (B_m241.087) (Corr),m329.790 (B_m329.790) (Corr),m429.071 (B_m429.071) (Corr),group_id
43,45005.9145,43.0,44.0,83.38699,1154546.0,5912.646,0.0,488.4043,14.52762,65835.61,13.28328,1724.953,12.2775,4398144.0,572.3389,242.0582,1654.485,10.62851,1443090.0,0.0,228274.5,1875.773,0.0,0.0,670.8467,0.0,0.0,0.0,6.3799019999999995,0.0,2209.7270000000003,39.63841,5.904626,0.0,212.241,16.308120000000002,0.0,43.89658,0.0,0.0,164.2954,0.0,0.0,1210.2839999999999,0.0,4.007516000000001,0.0,0.0,0.0,62.191419999999994,0.0,21.08274,0.0,0.0,0.0,0.0,0.0,0.0,2.815608,0.0,0.0,2.6512119999999997,0.0,2.53526,0.0,0.0,0.0,19.92483,2.0363990000000003,28.036509999999996,1.96995,3.881997,1.912247,0.0,0.0,5.10851,1.648856,1.630719,0.0,0.0,15.648679999999999,1.383299,0.0,0.0,0.0,0.0,0.0,12.68633,7.553307000000001,0.0,0.0,1.162499,0.0,0.0,0.0,1.007208,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,586.36,0.0,blk_21
44,45005.9145,44.0,45.0,159.9336,1107963.0,6592.4130000000005,0.0,405.5548,14.52762,65148.11,0.0,2000.0729999999999,98.22015999999999,4247654.0,526.1974,241.6137,1420.344,31.90605,1459697.0,0.0,228590.6,2011.52,0.0,7.958231,571.2218,0.0,14.471960000000001,6.639289999999999,0.0,0.0,1975.454,55.48138,5.908427,0.0,251.1775,0.0,5.499212,58.4227,0.0,0.0,129.4581,4.70288,0.0,1095.882,4.215719,2.4029439999999997,0.0,0.0,3.663865,54.87661,0.0,33.62275,0.0,3.386586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.592779,0.0,0.0,0.0,0.0,4.211575,8.149528,12.57947,3.5253639999999997,11.648489999999999,0.0,1.7062060000000001,0.0,10.40059,4.536212,0.0,0.0,0.3100521,20.10021,0.0,0.0,1.319421,1.2981200000000002,0.0,0.0,13.95592,10.07135,0.0,0.0,0.0,1.123599,0.0,0.0,1.0078559999999999,0.0,1.000644,6.003863,1.0,0.0,0.0,1.0,0.0,1.0,602.7942,0.0,blk_21
45,45005.9145,45.0,46.0,388.9221,1051432.0,5391.32,0.0,367.1119,0.0,64975.05,0.0,1580.995,49.11018,4140676.0,1719.652,263.3277,1503.652,21.26386,1419623.0,17.67243,224620.2,1916.882,0.0,0.0,631.0391,0.0,0.0,0.0,3.050919,0.0,1868.504,73.20644,5.904626,0.0,199.6732,5.649364,5.502752,39.79511,0.0,0.0,144.3524,0.0,0.0,1217.921,0.0,0.0,3.825654,0.0,0.0,54.87444,3.5187489999999997,42.17011,0.0,6.775352000000001,6.649788,0.0,0.0,3.033595,5.6330279999999995,0.0,0.0,0.0,4.2954,0.0,0.0,0.0,0.0,9.888788,6.191416,17.14682,18.4032,13.59014,0.0,1.7062060000000001,0.0,6.998532000000001,6.598609,0.0,0.0,1.469877,15.863620000000001,0.0,0.0,1.319421,0.0,1.287817,0.0,6.342747,20.14355,1.2491780000000001,0.0,2.3257470000000002,0.0,0.0,0.0,0.0,0.0,3.001288,5.00322,1.0,1.0,1.0,0.0,0.0,0.0,601.8406,1.000644,blk_21
46,45005.9145,46.0,47.0,250.161,1081414.0,2052.989,4.919702,439.6374,0.0,71360.67,0.0,1978.747,73.66537,4811579.0,0.0,299.7051,754.4793,0.0,1663106.0,53.02879,204969.9,529.0804,8.370764999999999,0.0,699.8637,0.0,14.4673,0.0,0.0,12.26125,2090.0820000000003,39.16212,101.4787,0.0,272.4641,5.649364,11.00196,61.94886999999999,0.0,0.0,172.952,0.0,13.341170000000002,1296.996,0.0,4.101503,3.825654,0.0,0.0,47.557629999999996,7.039762,35.14184,0.0,0.0,3.3238239999999997,0.0,0.0,3.033595,8.450493,0.0,4.05043,5.304130000000001,17.46022,2.53526,0.0,0.0,0.0,36.58548,12.01806,62.40343000000001,22.62932,27.68972,0.0,1.7062060000000001,0.0,18.27069,5.921885,0.0,1.4995459999999998,7.354114,38.70865,5.608398,0.0,0.0,0.0,0.0,2.5563540000000002,13.17203,22.47521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.001288,1.000644,0.0,0.0,0.0,1.0,0.0,0.0,599.7868,0.0,blk_21
47,45005.9146,47.0,48.0,750.4856,202442.9,753.1935,15.94232,254.7343,81.42083000000001,24756.15,26.575120000000002,940.3293,49.11018,1766808.0,0.0,1169.8319999999999,341.4296,34.398709999999994,695337.8,912.6175,59193.47,295.7594,0.0,0.0,353.0559,0.0,0.0,6.639289999999999,88.5953,42.61311,1308.2939999999999,12.164539999999999,452.7751,39.86623,138.9364,4.413566,47.24292,22.14293,68.45177,24.19479,73.63861,23.526510000000002,77.28194,893.3793,0.0,0.0,3.825654,0.0,3.663865,62.19347,7.039762,24.599220000000003,6.9056169999999995,6.775352000000001,24.63085,3.264382,0.0,0.0,11.26787,8.287264,16.21753,24.050810000000002,36.96935,5.072152,0.0,2.257419,0.0,119.4928,39.60698,181.3456,45.3073,44.74098,0.0,3.41351,1.686753,43.00707,6.044363,1.630719,0.0,0.0,50.715070000000004,2.856763,0.0,0.0,0.0,0.0,3.834943,35.52329,13.15415,0.0,1.191384,1.162499,0.0,0.0,0.0,0.0,0.0,3.001932,3.001932,0.0,1.0,0.0,0.0,0.0,0.0,601.2072,1.0,blk_21
48,45005.9146,48.0,49.0,19839.83,24831.47,333.5493,160.6687,65.97068,3768.272,4764.373,271.6803,203.8966,60856.59,79275.84,0.0,2203.842,191.8946,745.1183,164704.3,40691.86,10929.64,227.8256,33.50475,51.11399,150.5481,14.367989999999999,17.9356,153.8898,295.4246,673.9574,358.3972,36.49333,626.886,163.1502,88.39286,0.0,88.04429,5.487503,315.8808,69.92449,44.81342,37.64423,532.4956,362.003,20.83403,0.0,22.96623,4.01581,29.327479999999998,18.32789,14.08179,10.5425,3.4516980000000004,23.719179999999998,13.30171,3.264382,6.296715,9.10469,28.17248,11.05028,37.79057,23.87477,57.19821999999999,5.072152,2.476956,2.257419,0.0,173.7898,73.34963,218.1821,72.54948,67.28881,3.541692,18.83268,3.3745910000000006,58.499030000000005,18.14803,6.526024,0.0,4.412469000000001,80.76508000000001,1.427922,1.414619,0.0,1.2981200000000002,0.0,0.0,32.98672,15.107470000000001,0.0,0.0,0.0,1.123599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,611.4852,1.0,blk_21
49,45005.9146,49.0,50.0,732349.2,5681.588000000001,166.774,366.9121,59.9448,48847.96,1292.983,1137.118,50.93495,2362148.0,170.1406,0.0,1905.3410000000001,158.0959,5033.252,35722.07,192175.2,1748.3370000000002,139.909,220.0015,343.892,32.39366,22.74683,14.64161,370.7258,644.1686,1767.9820000000002,135.4377,6.082222,511.844,204.0926,17.02891,0.0,62.55088000000001,5.487503,448.8842,113.4399,0.35010359999999996,94.11543,998.4402,105.3864,37.96324,4.007516000000001,19.13818,0.0,40.32628,10.9753,24.644820000000003,10.5425,0.0,23.719179999999998,38.24864,10.499130000000001,15.744879999999998,3.033595,25.35497,13.81329,78.54544,31.833440000000003,69.84763000000001,2.53526,2.476956,4.516291000000001,0.0,173.6881,62.50881,239.7265,118.2674,77.66543,7.652678999999999,8.535421000000001,5.062429,63.39513,19.79795,4.8942559999999995,1.4995459999999998,8.823992,47.59384,10.00189,1.414619,0.0,1.2981200000000002,0.0,2.5563540000000002,30.44844,20.14431,2.49916,0.0,1.162499,0.0,1.089056,0.0,0.0,0.0,2.001288,1.0,0.0,0.0,0.0,2.000644,0.0,0.0,582.6735,0.0,blk_21
50,45005.9146,50.0,51.0,1283353.0,2124.982,0.0,432.1568,0.0,75921.4,296.2108,1978.224,0.0,4891894.0,12.226989999999999,0.0,873.1957,33.87749,6870.718000000001,25779.83,231840.8,492.107,61.20981999999999,268.0385,603.3608,7.920513000000001,30.33073,14.47661,616.2545,401.7419,1992.2720000000002,75.01756,6.082222,219.2382,222.1137,0.0,0.0,38.51935,0.0,468.6906,84.91625,0.0,89.41248,1363.3229999999999,22.152379999999997,37.96317,4.007516000000001,11.48195,0.0,47.64609,0.0,38.729,3.5141660000000003,3.4516980000000004,33.88564,39.90943,29.3963,6.296715,9.10469,36.62655,13.81329,65.00431,34.48807,38.91684,2.53526,4.955507,4.516291000000001,2.159714,187.364,57.04778,220.3372,78.84235,56.30729,3.8257239999999997,8.53545,5.062429,41.71112,24.47818,3.2624880000000003,3.000057,4.411522,53.360859999999995,8.572125999999999,1.414619,1.319421,0.0,1.287817,3.834943,30.86526,13.84847,4.999124,0.0,0.0,1.123599,0.0,0.0,1.007208,0.0,1.000644,2.000644,0.0,1.0,0.0,0.0,0.0,0.0,587.7668,0.0,blk_21
51,45005.9146,51.0,52.0,836369.0,4729.039000000001,250.161,471.2593,0.0,53668.39,902.0482,1272.452,65.98821,2663314.0,48.6917,0.0,1966.13,133.6797,5474.185,38173.06,196706.0,1874.721,112.8022,175.9007,337.9811,14.309520000000001,22.74683,7.233650999999999,497.6325,567.3392,1704.8120000000001,141.1514,12.164439999999999,482.3869,242.6585,17.02881,0.0,44.0221,5.487503,598.6614,74.92605999999999,9.958502000000001,84.68974,1078.51,87.93649,21.08945,0.0,26.79441,0.0,25.661379999999998,7.316864999999999,24.64488,10.5425,10.359539999999999,10.16412,43.581990000000005,39.41904,15.74685,6.069143,33.80546,13.81334,59.58566,39.79224,58.94283000000001,7.609042999999999,0.0,4.516291000000001,0.0,196.9324,71.31229,240.7078,109.1489,67.3504,9.566156,18.78037,1.686753,51.798840000000006,16.499229999999997,1.630719,1.4995459999999998,5.883292,73.55434,2.856763,0.0,0.0,0.0,1.287817,1.277766,44.40078,15.107489999999999,0.0,0.0,3.4889940000000004,0.0,0.0,0.0,1.007208,0.0,1.000644,1.000644,0.0,1.0,0.0,0.0,0.0,0.0,549.2902,1.0,blk_21
52,45005.9146,52.0,53.0,48026.29,21640.6,834.1777,386.6934,15.789520000000001,7648.659000000001,3759.4829999999997,467.2537,189.0006,166427.4,38876.2,0.0,2320.775,124.3399,1048.357,150867.8,62531.53,7816.321999999999,170.1323,62.314409999999995,70.92142,74.94651,0.0,7.233650999999999,200.1649,364.96,950.816,405.4193,18.24667,589.6249,101.44,45.41026,0.0,88.0442,5.487503,304.1014,84.9099,19.917,42.35029,533.6705,258.8035,8.434152000000001,8.017612,3.825654,3.7427550000000003,25.65908,25.60909,17.6028,17.570829999999997,0.0,16.9417,49.53669,22.863329999999998,3.147345,6.069143,16.90271,2.7612360000000002,35.482209999999995,26.5224,77.83234,5.072152,0.0,18.06956,0.0,169.172,71.31934,231.5703,99.16162,62.737930000000006,2.540106,13.651279999999998,1.686753,40.79762,13.199370000000002,0.0,0.0,2.9407,79.31229,2.856763,0.0,0.0,0.0,0.0,1.277766,38.0607,11.33037,3.748338,0.0,1.162499,0.0,2.1788119999999997,0.0,1.007208,0.0,2.001288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,629.3901,0.0,blk_21
